Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
503046473,Saklar Lampu Kanan Satria Fu 150,51159936100,,,,44300,,96,0,,,,,
503037830,Saklar Lampu Kanan Supra,51159936077,,,,49100,,96,0,,,,,
503023263,Kunci Kontak Set Grand/Prima,41159921470,,,,69100,,24,0,,,,,
502976692,Tombol Saklar Set Smash/Shogun 125,41159921472,,,,37800,,951,0,,,,,
502962867,Tombol Saklar Set Revo ABS,41159921448,,,,42100,,877,0,,,,,
502949742,Tombol Saklar Set Kharisma,41159921468,,,,37800,,763,0,,,,,
502928568,Kunci Kontak Assy Grand,41159936176,,,,69100,,24,0,,,,,
487512574,Lampu Sen Vixion New,41159921459,,,,37800,,6,0,,,,,
487504281,Stang seher shogun,41159936172,,,,89100,,99,0,,,,,
487489037,Stelan Tensioner Suzuki,51159936102,,,,31900,,80,0,,,,,
487474450,Coil Stater,41159921451,,,,8600,,91,0,,,,,
487461991,Sekring Tusuk Besar&Kecil 10A/15A/20A,60351140599,,,,500,,2209,0,,,,,
487448262,"Flaser Sen 12,8 Volt",41159921466,,,,15700,,64,0,,,,,
487440102,Pulser Spull Satria Fu 150,51159936079,,,,40500,,584,0,,,,,
487433741,Pulser Spull Jupiter MX/Jupiter Z/Vega R/Vega R New/Vega ZR,41159921449,,,,35100,,482,0,,,,,
487427524,Pulser Spull Supra X 125/Karisma,51159936103,,,,35100,,898,0,,,,,
487415850,Coil Assy Mio/Sporty/Mio Soul,41159936174,,,,44800,,170,0,,,,,
487408492,Coil Assy Force 1/F1ZR/Vega R/Jupiter Z,41159936167,,,,40500,,33,0,,,,,
487399137,Coil Assy Beat/Vario,41159921440,,,,40500,,10,0,,,,,
487392249,Coil Assy Tiger,41159921471,,,,40500,,10,0,,,,,
487387443,Coil Assy Kharisma/Supra X/Supra Fit,51159936101,,,,40500,,36,0,,,,,
487379156,Coil Assy Megapro/Glpro,41159921442,,,,40500,,9,0,,,,,
487370501,Coil Assy Revo Abs/Blade,41159921441,,,,40500,,8,0,,,,,
487363221,Coil Assy Grand,41159921456,,,,40500,,9,0,,,,,
487354317,"Coil Assy+Cangklong Racing ""Grand""",41159921455,,,,51300,,24,0,,,,,
487344576,Coil Assy+Cangklong Racing Force 1/F1ZR/Vega R/Jupiter Z,51159936082,,,,59400,,15,0,,,,,
487323960,Busi ENR Vario,41159921464,,,,9200,,17,0,,,,,
487315623,Busi ENR,41159936166,,,,6500,,27,0,,,,,
487304851,Busi NGK DP8EA-9,41159936164,,,,16200,,12,0,,,,,
487290150,Busi NGK CR7EH-9 Vario,51159936092,,,,21600,,0,0,,,,,
487269484,Bosh Klep Mio/Soul/Sporty/Mio-J/GT/Soul GT/Xride/Xeon RC/Beat/Vario,41159921438,,,,17800,,333,0,,,,,
481886711,Seal Penutup Shock Depan Honda Bebek/Honda Matic,41159921437,,,,8100,,30,0,,,,,
481879166,Seal Shock,41159344591,,,,5400,,76,0,,,,,
481861742,Seal Magnet,41159330403,,,,7600,,98,0,,,,,
481850905,Seal Pully (34*41*4)Beat/Vario 110lVario 125/Vario 150/Beat F1/Scoopy F1/PCX/Genio Adv,41159330369,,,,7600,,96,0,,,,,
481840139,Seal Stud Kopling,41159344642,,,,3800,,99,0,,,,,
481829060,Seal Kick Stater,41159344640,,,,3800,,99,0,,,,,
481817076,Seal Operan Gigi,41159344641,,,,5900,,97,0,,,,,
481802162,Packing Knalpot,41159330345,,,,1600,,76,0,,,,,
481740042,"Klep Set Honda Genuine Parts ""Vario""",41159344647,,,,97200,,2,0,,,,,
481734440,"Klep Set Honda Genuine part ""Beat""",41159344626,,,,75600,,2,0,,,,,
481716869,Piston Set Grand/Prima,31159330435,,,,68000,,24,0,,,,,
481707478,Piston Set Byson,41159344592,,,,99400,,24,0,,,,,
481698455,Piston Set RxKing/Vega zr/Jupiter z/Crypton,41159344646,,,,81000,,23,0,,,,,
475998652,Stelan Tensioner Karisma/Supra X 125,41159330353,,,,37800,,21,0,,,,,
475969663,Pompa Oli/Oil Pump Grand/Supra X/Supra Fit/Revo,41159330351,,,,42100,,64,0,,,,,
475964861,Pompa Oli/Oil Pump Jupiter Z/Vega R New,41159330355,,,,75600,,35,0,,,,,
475959884,Pompa Oli/Oil Pump Vixion,41159330370,,,,81000,,67,0,,,,,
475949329,Pompa Oli/Oil Pump Supra X 125/Kharisma,41159344631,,,,84800,,31,0,,,,,
475871343,Kampas Ganda Assy Vario 125F1 CBS/Vario 150F1,41159344629,,,,164700,,69,0,,,,,
475864323,Kampas Kopling Ganda Set Grand/Supra,41159344614,,,,95000,,36,0,,,,,
475858505,Kampas Kopling Ganda Set Blade/Revo Abs,41159330344,,,,105300,,59,0,,,,,
475851601,Karet Vacum Carburator,41159330343,,,,16200,,0,0,,,,,
475843637,Gearbox Kilometer Jupiter MX/Jupiter Z/Force1/vega R/Vega R New/Vega ZR,41159330347,,,,34600,,68,0,,,,,
475838536,Gearbox Kilometer Supra Fit New,41159330342,,,,34600,,71,0,,,,,
475833252,Gearbox Kilometer Revo Abs/Blade,41159344616,,,,34600,,70,0,,,,,
475822308,Gearbox Kilometer Smash,41159330409,,,,34600,,70,0,,,,,
475818135,Gear Box KM Thunder/Satria Fu 150,41159344627,,,,29200,,0,0,,,,,
475813719,Gearbox Kilometer Glpro/Neotech/Megapro/Tiger Old,41159344615,,,,34600,,70,0,,,,,
